ID_CULTIVO,DATA_POVOAMENTO,DATA_ULTIMA_SEMANA,N_SEMANAS_DATADAS,MES_POVOAMENTO,ANO_POVOAMENTO
V10_C1,2022-10-03,2023-04-16,27,10,2022
V10_C2,2023-04-10,2023-09-17,23,4,2023
V10_C3,2023-09-11,2024-02-25,24,9,2023
V10_C4,2024-02-19,2024-06-02,15,2,2024
V10_C5,2024-05-27,2024-10-16,18,5,2024
V10_C6,2024-09-30,2024-11-03,5,9,2024
V10_C7,2024-10-28,2025-01-26,13,10,2024
V10_C8,2025-01-20,2025-04-27,14,1,2025
V10_C9,2025-04-21,2025-06-29,10,4,2025
V11A_C1,2022-08-01,2023-01-08,23,8,2022
V11A_C2,2023-01-02,2023-06-11,24,1,2023
V11A_C3,2023-06-05,2023-10-01,17,6,2023
V11A_C4,2023-09-25,2024-11-17,28,9,2023
V11A_C5,2024-04-08,2024-10-16,12,4,2024
V11A_C6,2024-06-17,2024-10-20,18,6,2024
V11A_C7,2024-10-14,2025-03-16,22,10,2024
V11A_C8,2025-03-10,2025-05-18,10,3,2025
V11A_C9,2025-05-12,2025-06-29,7,5,2025
V11B_C1,2022-08-08,2023-01-08,22,8,2022
V11B_C2,2023-01-09,2023-07-09,26,1,2023
V11B_C3,2023-07-03,2023-10-29,17,7,2023
V11B_C4,2023-10-23,2024-02-25,19,10,2023
V11B_C5,2024-02-26,2024-10-16,18,2,2024
V11B_C6,2024-06-24,2024-08-25,9,6,2024
V11B_C7,2024-08-19,2024-12-15,17,8,2024
V11B_C8,2024-12-09,2025-05-04,21,12,2024
V11B_C9,2025-04-28,2025-06-29,9,4,2025
V11C_C1,2022-08-01,2023-01-08,23,8,2022
V11C_C10,2025-04-28,2025-06-29,9,4,2025
V11C_C2,2023-01-02,2023-04-30,17,1,2023
V11C_C3,2023-04-24,2023-06-11,8,4,2023
V11C_C4,2023-06-05,2023-09-24,16,6,2023
V11C_C5,2023-09-25,2024-04-14,29,9,2023
V11C_C6,2024-04-08,2024-10-16,14,4,2024
V11C_C7,2024-07-08,2024-12-01,21,7,2024
V11C_C8,2024-12-02,2025-03-30,17,12,2024
V11C_C9,2025-03-24,2025-05-04,6,3,2025
V12A_C1,2022-08-15,2023-01-01,21,8,2022
V12A_C2,2022-12-26,2023-06-11,25,12,2022
V12A_C3,2023-06-05,2023-11-26,26,6,2023
V12A_C4,2023-10-04,2024-06-09,29,10,2023
V12A_C5,2024-06-10,2024-11-03,23,6,2024
V12A_C6,2024-11-04,2025-04-13,23,11,2024
V12A_C7,2025-04-07,2025-06-29,12,4,2025
V12B1_C1,2022-06-06,2022-10-23,20,6,2022
V12B1_C2,2022-10-17,2023-04-30,27,10,2022
V12B1_C3,2023-04-24,2023-07-23,14,4,2023
V12B1_C4,2023-07-17,2024-03-31,37,7,2023
V12B1_C5,2024-04-01,2024-10-16,21,4,2024
V12B1_C6,2024-08-19,2025-02-09,25,8,2024
V12B1_C7,2025-02-03,2025-06-29,21,2,2025
V12B2_C1,2022-08-29,2023-01-15,20,8,2022
V12B2_C10,2025-05-12,2025-06-29,7,5,2025
V12B2_C2,2023-01-16,2023-04-30,15,1,2023
V12B2_C3,2023-04-24,2023-06-25,10,4,2023
V12B2_C4,2023-06-26,2023-10-15,16,6,2023
V12B2_C5,2023-10-09,2024-01-14,14,10,2023
V12B2_C6,2024-01-15,2024-05-26,19,1,2024
V12B2_C7,2024-05-27,2024-12-15,29,5,2024
V12B2_C8,2024-12-16,2025-04-13,17,12,2024
V12B2_C9,2025-04-07,2025-05-18,6,4,2025
V12B3_C1,2022-06-13,2022-10-23,19,6,2022
V12B3_C2,2022-10-17,2023-03-19,22,10,2022
V12B3_C3,2023-03-13,2023-06-25,15,3,2023
V12B3_C4,2023-06-19,2023-07-23,5,6,2023
V12B3_C5,2023-07-17,2024-04-14,39,7,2023
V12B3_C6,2024-04-08,2024-10-16,20,4,2024
V12B3_C7,2024-08-12,2024-10-13,9,8,2024
V12B3_C8,2024-10-07,2025-03-09,22,10,2024
V12B3_C9,2025-03-03,2025-06-29,17,3,2025
V12B4_C1,2022-08-22,2023-01-15,21,8,2022
V12B4_C10,2025-04-14,2025-06-29,11,4,2025
V12B4_C2,2023-01-09,2023-07-16,28,1,2023
V12B4_C3,2023-07-17,2023-10-15,13,7,2023
V12B4_C4,2023-10-09,2024-03-17,23,10,2023
V12B4_C5,2024-03-11,2024-04-28,8,3,2024
V12B4_C6,2024-04-29,2024-10-16,17,4,2024
V12B4_C7,2024-04-29,2024-10-06,8,4,2024
V12B4_C8,2024-10-07,2024-11-10,6,10,2024
V12B4_C9,2024-11-04,2025-04-20,24,11,2024
V12B5_C1,2022-08-15,2023-02-19,27,8,2022
V12B5_C2,2023-02-13,2023-07-16,22,2,2023
V12B5_C3,2023-07-17,2023-12-17,23,7,2023
V12B5_C4,2023-12-18,2024-05-12,21,12,2023
V12B5_C5,2024-05-06,2026-10-16,24,5,2024
V12B5_C6,2024-10-14,2025-01-12,13,10,2024
V12B5_C7,2025-01-06,2025-04-06,12,1,2025
V12B5_C8,2025-03-31,2025-06-29,13,3,2025
V13_C1,2022-08-29,2023-02-19,26,8,2022
V13_C2,2023-02-13,2023-07-09,22,2,2023
V13_C3,2023-07-03,2023-10-15,15,7,2023
V13_C4,2023-10-09,2024-03-24,24,10,2023
V13_C5,2024-03-25,2024-06-02,10,3,2024
V13_C6,2024-05-27,2024-10-16,20,5,2024
V13_C7,2024-10-07,2024-12-29,12,10,2024
V13_C8,2024-12-23,2025-03-23,13,12,2024
V13_C9,2025-03-17,2025-06-29,15,3,2025
V14_C1,2022-10-03,2023-03-05,22,10,2022
V14_C2,2023-02-27,2023-08-13,24,2,2023
V14_C3,2023-08-07,2024-01-28,25,8,2023
V14_C4,2024-01-22,2026-10-16,26,1,2024
V14_C5,2024-07-15,2024-09-01,7,7,2024
V14_C6,2024-08-26,2024-12-22,17,8,2024
V14_C7,2024-12-23,2025-04-27,19,12,2024
V14_C8,2025-04-21,2025-06-29,10,4,2025
V1_C1,2022-06-27,2022-10-30,19,6,2022
V1_C2,2022-10-24,2023-05-07,28,10,2022
V1_C3,2023-05-01,2023-10-01,23,5,2023
V1_C4,2023-02-05,2024-05-12,35,2,2023
V1_C5,2024-05-06,2024-08-25,17,5,2024
V1_C6,2024-08-19,2025-05-16,26,8,2024
V1_C7,2025-02-10,2025-05-16,12,2,2025
V1_C8,2025-04-21,2025-06-29,10,4,2025
V3_C1,2022-08-29,2023-02-05,23,8,2022
V3_C2,2023-01-30,2023-08-27,31,1,2023
V3_C3,2023-08-21,2023-12-31,19,8,2023
V3_C4,2024-01-01,2024-10-16,29,1,2024
V3_C5,2024-07-15,2024-11-24,18,7,2024
V3_C6,2024-11-18,2025-04-13,21,11,2024
V3_C7,2025-04-07,2025-06-15,10,4,2025
V3_C8,2025-06-09,2025-06-29,3,6,2025
V4_C1,2022-08-01,2022-10-23,12,8,2022
V4_C10,2025-04-14,2025-06-29,11,4,2025
V4_C2,2022-10-24,2023-04-16,24,10,2022
V4_C3,2023-04-10,2023-08-13,19,4,2023
V4_C4,2023-07-07,2023-12-24,21,7,2023
V4_C5,2023-12-18,2024-05-05,20,12,2023
V4_C6,2024-04-29,2024-10-16,24,4,2024
V4_C7,2024-10-07,2024-12-08,9,10,2024
V4_C8,2024-12-02,2025-01-26,8,12,2024
V4_C9,2025-01-27,2025-04-20,13,1,2025
V5_C1,2022-08-29,2023-03-05,27,8,2022
V5_C2,2023-02-27,2023-07-09,19,2,2023
V5_C3,2023-07-03,2023-11-19,20,7,2023
V5_C4,2023-11-20,2024-05-26,27,11,2023
V5_C5,2024-05-27,2024-10-16,15,5,2024
V5_C6,2024-08-26,2024-12-22,18,8,2024
V5_C7,2024-12-23,2025-04-06,15,12,2024
V5_C8,2025-03-31,2025-06-01,9,3,2025
V5_C9,2025-05-26,2025-06-29,5,5,2025
V6_C1,2022-07-04,2022-11-13,19,7,2022
V6_C10,2025-03-24,2025-05-04,6,3,2025
V6_C11,2025-04-28,2025-06-08,6,4,2025
V6_C12,2025-06-09,2025-06-29,3,6,2025
