DATA,KG_VENDA,KG_DOACAO,NF,PESO_MEDIO,QTD_ANIMAIS_TEXTO,DESBASTE,KG,ID_CULTIVO,VIVEIRO,QTD_ANIMAIS_CALC,QTD_ANIMAIS
20/12/2022,500.0,500.0,,19.74,25329.0,False,1000.0,V12A_C1,12A,50658.561296859174,25329.0
,424.0,424.0,,24.18,17535.0,False,848.0,V1_C4,1,35070.30603804797,17535.0
19/01/2023,250.0,250.0,,11.0,22727.0,True,500.0,V14_C1,14,45454.545454545456,22727.0
19/12/2022,672.0,142.0,1.310,20.68,,False,814.0,V12A_C1,12A,39361.70212765958,39361.70212765958
12/12/2024,128.5,128.5,,28.82,,False,257.0,V8_C6,8,8917.418459403192,8917.418459403192
12/12/2024,112.5,112.5,,28.82,3903.0,False,225.0,V8_C6,8,7807.0784177654405,3903.0
27/12/2022,532.0,79.0,1.324.,13.91,43925.0,True,611.0,V11A_C1,11A,43925.233644859814,43925.0
28/09/2023,3915.0,72.0,1.479,23.76,167803.0,True,3987.0,V1_C3,1,167803.0303030303,167803.0
23/10/2024,308.0,57.0,1.680,16.16,22586.0,True,365.0,V12A_C5,12A,22586.633663366338,22586.0
,16.0,56.007,,,,False,72.007,V7_C3,7,,
24/10/2022,2095.0,42.0,1.291,15.49,137959.0,True,2137.0,V1_C1,1,137959.97417688833,137959.0
08/06/2023,1054.0,41.0,1.416,22.38,,False,1095.0,V11A_C2,11A,48927.61394101877,48927.61394101877
27/10/2024,500.0,32.0,1.685,17.12,31074.0,True,532.0,V12A_C5,12A,31074.766355140186,31074.0
06/04/2023,280.0,30.0,1.379,22.46,13802.0,True,310.0,V10_C1,10,13802.315227070347,13802.0
23/12/2022,1764.0,30.0,1.320.,12.99,138105.0,True,1794.0,V11B_C1,11B,138106.23556581986,138105.0
24/11/2022,1512.0,29.0,1.302,14.91,,False,1541.0,V12A_C1,12A,103353.45405767941,103353.45405767941
04/09/2023,216.0,27.0,1.472,20.29,11976.0,True,243.0,V1_C3,1,11976.343026121243,11976.0
11/07/2023,406.0,23.0,1.433,24.81,17270.0,False,429.0,V12B4_C2,12B4,17291.414752116085,17270.0
29/12/2022,349.0,22.0,1.335.,17.89,,False,371.0,V12A_C1,12A,20737.84237003913,20737.84237003913
19/11/2024,400.0,20.5,1.697,14.02,28530.0,True,420.5,V11C_C7,11C,29992.867332382313,28530.0
14/03/2023,312.0,20.0,1.370,24.24,13696.0,True,332.0,V1_C2,1,13696.369636963696,13696.0
23/02/2023,585.0,20.0,1.360,20.8,29086.0,True,605.0,V4_C2,4,29086.53846153846,29086.0
04/01/2024,602.0,19.0,1.524,15.1,41125.0,True,621.0,V14_C3,14,41125.82781456954,41125.0
02/11/2023,170.5,19.0,1.497,15.1,12549.0,True,189.5,V12A_C3,12A,12549.668874172186,12549.0
23/05/2023,252.0,17.0,1.405,23.03,11680.0,True,269.0,V12A_C2,12A,11680.416847590099,11680.0
22/07/2023,702.0,17.0,1.441,30.35,23690.0,True,719.0,V3_C2,3,23690.280065897856,23690.0
17/12/2024,16.0,16.0,,29.0,551.0,False,32.0,V8_C6,8,1103.448275862069,551.0
17/12/2024,16.0,16.0,,33.0,484.0,False,32.0,V12B1_C6,12B1,969.6969696969697,484.0
21/09/2023,610.0,15.0,1.476,23.79,26271.0,True,625.0,V1_C3,1,26271.54266498529,26271.0
04/01/2024,516.0,12.0,1.524,14.34,35983.0,True,528.0,V11B_C4,11B,36820.08368200837,35983.0
03/05/2023,1507.0,12.0,1.395,21.13,71888.0,True,1519.0,V12A_C2,12A,71888.31045906295,71888.0
,11.0,11.0,,,,False,22.0,V7_C7,7,,
31/03/2023,54.0,11.0,1.377,15.37,4.2,False,65.0,V11C_C2,11C,4229.017566688354,4.2
07/06/2024,1844.5,11.0,1.599,22.65,81920.0,True,1855.5,V12A_C4,12A,81920.5298013245,81920.0
12/09/2024,230.0,10.0,1.644,14.42,16643.0,True,240.0,V8_C5,8,16643.55062413315,16643.0
08/07/2023,616.0,10.0,1.449,17.3,36184.0,True,626.0,V4_C3,4,36184.971098265894,36184.0
19/12/2022,569.0,10.0,1.309,12.02,47459.0,True,579.0,V12B5_C1,12B5,48169.717138103166,47459.0
,10.0,10.0,,22.6,442.0,True,20.0,V1_C3,1,884.9557522123894,442.0
23/05/2023,295.0,10.0,1.405,16.85,,False,305.0,V11B_C2,11B,18100.890207715132,18100.890207715132
24/02/2025,465.0,9.0,1.731,13.95,33978.0,True,474.0,V7_C8,7,33978.49462365592,33978.0
07/02/2024,200.0,9.0,1.536,20.12,10487.0,True,209.0,V11B_C4,11B,10387.673956262424,10487.0
06/05/2024,700.0,8.0,1.576,32.56,21498.0,True,708.0,V1_C4,1,21744.471744471743,21498.0
29/08/2024,172.0,8.0,1.640,10.72,16791.0,True,180.0,V10_C5,10,16791.0447761194,16791.0
10/07/2024,74.0,8.0,1.613,25.52,3213.0,True,82.0,V14_C4,14,3213.166144200627,3213.0
16/03/2023,1666.0,7.0,1.372,22.93,72961.0,True,1673.0,V1_C2,1,72961.18621892716,72961.0
28/12/2022,5476.0,7.0,1.327.,20.06,273330.0,False,5483.0,V12A_C1,12A,273330.00997008977,273330.0
25/01/2023,444.0,6.0,1.350,15.15,29702.0,True,450.0,V1_C2,1,29702.970297029704,29702.0
17/09/2024,1500.0,6.0,1.646,9.5,158825.0,True,1506.0,V12A_C5,12A,158526.31578947368,158825.0
09/03/2023,59.0,6.0,1.369,12.26,5301.0,False,65.0,V12B1_C2,12B1,5301.794453507341,5301.0
,6.0,6.0,,7.0,857.0,False,12.0,V11B_C2,11B,1714.2857142857142,857.0
30/01/2024,1316.0,5.0,1.534,19.38,68163.0,False,1321.0,V7_C4,7,68163.05469556244,68163.0
29/01/2025,2236.0,5.0,1.723,17.71,126538.0,True,2241.0,V1_C6,1,126538.67871259175,126538.0
25/05/2024,4942.0,5.0,1.592,21.83,226614.0,True,4947.0,V12A_C4,12A,226614.7503435639,226614.0
12/06/2025,51.0,5.0,1.806,22.23,2519.0,True,56.0,V1_C8,1,2519.118308591993,2519.0
16/08/2023,655.0,5.0,1.456,33.8,19526.0,True,660.0,V3_C2,3,19526.62721893491,19526.0
28/07/2023,350.0,5.0,1.445,31.99,11097.0,True,355.0,V8_C2,8,11097.217880587685,11097.0
11/07/2023,357.0,4.0,1.433,10.68,33426.0,True,361.0,V14_C2,14,33801.49812734083,33426.0
17/12/2023,1019.0,4.0,1.518,16.38,62454.0,True,1023.0,V4_C4,4,62454.21245421246,62454.0
01/06/2024,1610.5,4.0,1.596,23.54,68585.0,True,1614.5,V12A_C4,12A,68585.38657604078,68585.0
