ID_CULTIVO,VIVEIRO,ORDEM,DIAS,RACAO_ACUM,RACAO_ACUM_POR_PL,DENSIDADE_PL_M2,SUP_05,TEMP_05,PH_05,SAL_14,PESO
V10_C1,10,35,22.0,92.0,0.00044878048780487806,20.5,4.3,28.5,8.5,36.0,2.3
V10_C1,10,42,29.0,170.0,0.0008292682926829268,20.5,4.1,28.4,8.5,35.0,2.3
V10_C1,10,49,36.0,260.0,0.0012682926829268293,20.5,3.8,28.2,8.5,37.0,2.5
V10_C1,10,56,43.0,375.0,0.001829268292682927,20.5,4.0,28.1,8.5,38.0,3.0
V10_C1,10,63,50.0,540.0,0.002634146341463415,20.5,3.2,27.8,8.5,40.0,3.9
V10_C1,10,70,57.0,715.0,0.0034878048780487805,20.5,4.2,29.2,8.5,38.0,4.9
V10_C1,10,77,64.0,885.0,0.004317073170731708,20.5,4.5,28.1,8.5,39.0,5.3
V10_C1,10,84,71.0,1088.0,0.005307317073170731,20.5,3.4,28.0,8.5,40.0,5.5
V10_C1,10,91,78.0,1283.0,0.006258536585365853,20.5,2.5,29.1,8.5,36.0,6.1
V10_C1,10,98,84.0,1493.0,0.007282926829268292,20.5,3.0,28.5,8.5,38.0,7.4
V10_C1,10,105,91.0,1747.0,0.008521951219512195,20.5,2.1,28.7,8.5,40.0,8.0
V10_C1,10,112,98.0,1973.0,0.009624390243902438,20.5,3.6,29.7,8.5,40.0,9.5
V10_C1,10,119,105.0,2191.0,0.01068780487804878,20.5,3.0,28.7,8.4,38.0,9.9
V10_C1,10,126,112.0,2415.0,0.011780487804878049,20.5,2.7,30.0,8.4,40.0,11.0
V10_C1,10,133,119.0,2631.0,0.012834146341463414,20.5,3.1,29.4,8.4,40.0,11.9
V10_C1,10,140,126.0,2826.0,0.013785365853658537,20.5,2.9,28.7,7.6,38.0,12.5
V10_C1,10,147,133.0,3027.0,0.014765853658536585,20.5,3.5,29.3,7.6,40.0,13.0
V10_C1,10,154,140.0,3266.0,0.01593170731707317,20.5,3.3,28.7,7.6,38.0,14.5
V10_C1,10,161,147.0,3506.0,0.017102439024390244,20.5,3.5,29.4,7.6,38.0,17.0
V10_C1,10,168,154.0,3749.0,0.01828780487804878,20.5,4.8,28.1,7.9,34.0,19.0
V10_C1,10,175,161.0,3994.0,0.019482926829268294,20.5,2.2,29.2,7.7,33.0,20.0
V10_C1,10,182,168.0,4239.0,0.020678048780487804,20.5,3.4,29.9,7.7,,22.0
V10_C2,10,28,21.0,75.0,0.0003846153846153846,19.5,5.0,29.0,8.1,,1.6
V10_C2,10,35,28.0,181.0,0.0009282051282051282,19.5,4.1,29.1,8.1,29.0,2.4
V10_C2,10,42,35.0,351.0,0.0018,19.5,4.4,28.3,8.1,30.0,2.8
V10_C2,10,49,42.0,526.0,0.0026974358974358975,19.5,4.5,28.4,8.1,30.0,3.6
V10_C2,10,56,49.0,721.0,0.0036974358974358975,19.5,4.0,27.7,8.1,30.0,4.3
V10_C2,10,63,56.0,917.0,0.004702564102564102,19.5,4.0,26.9,8.1,30.0,5.3
V10_C2,10,70,63.0,1122.0,0.005753846153846154,19.5,4.5,27.0,8.1,32.0,6.0
V10_C2,10,77,70.0,1350.0,0.006923076923076923,19.5,3.6,27.0,8.1,30.0,7.1
V10_C2,10,84,77.0,1605.0,0.00823076923076923,19.5,3.8,27.3,8.1,30.0,8.2
V10_C2,10,91,84.0,1850.0,0.009487179487179488,19.5,3.0,27.8,8.1,30.0,9.7
V10_C2,10,98,91.0,2095.0,0.010743589743589743,19.5,3.2,27.0,8.1,30.0,11.0
V10_C2,10,105,98.0,2300.0,0.011794871794871795,19.5,4.0,25.9,8.1,30.0,11.8
V10_C2,10,112,105.0,2470.0,0.012666666666666666,19.5,3.7,26.7,8.1,30.0,12.8
V10_C2,10,119,112.0,2640.0,0.01353846153846154,19.5,4.1,26.9,8.1,30.0,14.0
V10_C2,10,126,119.0,2815.0,0.014435897435897436,19.5,3.6,26.6,8.1,30.0,15.5
V10_C2,10,133,126.0,3030.0,0.01553846153846154,19.5,3.6,27.4,8.1,29.0,16.0
V10_C2,10,140,133.0,3240.0,0.016615384615384615,19.5,2.4,28.1,8.1,30.0,17.0
V10_C2,10,147,140.0,3450.0,0.01769230769230769,19.5,3.3,27.4,8.1,30.0,18.2
V10_C3,10,35,24.0,98.0,0.00049,20.0,4.9,27.1,8.0,32.0,1.2
V10_C3,10,42,31.0,128.0,0.00064,20.0,4.5,27.9,8.0,33.0,1.6
V10_C3,10,49,38.0,193.0,0.000965,20.0,5.6,27.6,8.0,34.0,2.1
V10_C3,10,56,45.0,283.0,0.001415,20.0,3.9,28.2,8.0,36.0,2.2
V10_C3,10,63,52.0,383.0,0.001915,20.0,4.5,28.1,8.0,37.0,2.2
V10_C3,10,70,59.0,523.0,0.002615,20.0,3.8,28.8,8.0,38.0,2.6
V10_C3,10,77,66.0,643.0,0.003215,20.0,4.4,28.2,8.0,40.0,3.1
V10_C3,10,84,73.0,793.0,0.003965,20.0,4.0,28.9,8.1,32.0,3.6
V10_C3,10,91,80.0,943.0,0.004715,20.0,4.4,28.4,8.1,33.0,4.5
V10_C3,10,98,87.0,1118.0,0.00559,20.0,4.3,28.8,8.1,30.0,5.5
V10_C3,10,105,94.0,1298.0,0.00649,20.0,3.4,28.7,8.2,30.0,6.5
V10_C3,10,112,101.0,1478.0,0.00739,20.0,2.5,29.4,8.2,30.0,7.3
V10_C3,10,119,108.0,1643.0,0.008215,20.0,2.9,29.9,,30.0,7.8
V10_C3,10,126,115.0,1803.0,0.009015,20.0,,,,30.0,8.5
V10_C3,10,133,122.0,1983.0,0.009915,20.0,3.1,29.1,8.6,32.0,9.5
V10_C3,10,140,129.0,2163.0,0.010815,20.0,,,,33.0,10.2
V10_C3,10,147,136.0,2323.0,0.011615,20.0,3.4,28.3,8.8,32.0,12.2
V10_C3,10,154,143.0,2443.0,0.012215,20.0,3.1,28.6,8.8,31.0,13.5
V10_C4,10,42,12.0,360.0,0.0025714285714285713,14.0,3.8,28.0,8.7,25.0,5.8
V10_C4,10,49,19.0,592.0,0.004228571428571429,14.0,,,,25.0,8.0
V10_C4,10,56,26.0,872.0,0.006228571428571429,14.0,,,,,11.0
V10_C4,10,63,33.0,1132.0,0.008085714285714286,14.0,,,,,14.0
V10_C4,10,70,40.0,1402.0,0.010014285714285715,14.0,2.7,28.3,8.6,20.0,17.0
V10_C4,10,77,47.0,1682.0,0.012014285714285713,14.0,2.7,28.7,8.6,18.0,19.0
V10_C4,10,84,54.0,1857.0,0.013264285714285715,14.0,3.0,29.2,8.6,20.0,22.0
V10_C4,10,91,61.0,1978.0,0.014128571428571428,14.0,4.0,29.0,8.6,21.0,24.0
V10_C4,10,98,68.0,2088.0,0.014914285714285715,14.0,5.8,27.5,8.6,,27.0
V10_C5,10,35,19.0,88.0,0.0004888888888888889,18.0,5.2,27.6,,13.0,1.8
V10_C5,10,42,26.0,158.0,0.0008777777777777778,18.0,6.0,27.2,,11.0,2.9
V10_C5,10,49,33.0,283.0,0.0015722222222222223,18.0,4.3,26.0,,11.0,3.3
V10_C5,10,56,40.0,413.0,0.0022944444444444444,18.0,6.3,25.4,9.0,12.0,4.8
V10_C5,10,63,47.0,553.0,0.0030722222222222223,18.0,5.2,26.7,9.0,15.0,5.3
V10_C5,10,70,54.0,693.0,0.00385,18.0,5.8,26.0,9.0,15.0,6.5
V10_C5,10,77,61.0,835.0,0.004638888888888889,18.0,4.0,27.0,9.0,,8.0
V10_C5,10,84,68.0,996.0,0.005533333333333334,18.0,3.6,26.0,8.9,20.0,9.5
V10_C5,10,91,75.0,1158.0,0.0064333333333333334,18.0,4.1,25.8,8.9,20.0,10.0
V10_C5,10,98,82.0,1299.0,0.007216666666666666,18.0,4.8,25.6,8.9,25.0,11.5
V10_C5,10,105,89.0,1417.0,0.007872222222222221,18.0,3.9,26.5,8.9,25.0,12.7
V10_C5,10,112,96.0,1555.0,0.008638888888888889,18.0,3.5,26.6,8.8,25.0,14.2
V10_C6,10,7,4.0,318.0,0.0033473684210526314,9.5,3.9,27.1,9.0,28.0,4.2
V10_C6,10,14,11.0,385.0,0.0040526315789473685,9.5,4.3,27.6,8.8,30.0,7.3
V10_C6,10,21,18.0,455.0,0.004789473684210527,9.5,5.1,27.5,8.8,30.0,9.2
V10_C6,10,28,25.0,554.0,0.005831578947368421,9.5,5.3,27.9,8.8,30.0,12.5
V10_C7,10,49,1.0,,,8.0,4.9,27.8,8.7,35.0,8.7
V10_C7,10,56,8.0,140.0,0.00175,8.0,4.4,28.8,8.7,,10.0
V10_C7,10,63,15.0,270.0,0.003375,8.0,3.3,29.0,8.7,34.0,10.0
V10_C7,10,70,22.0,412.0,0.00515,8.0,3.5,28.1,8.7,35.0,12.0
V10_C7,10,77,29.0,544.0,0.0068,8.0,3.4,29.6,8.7,35.0,14.5
V10_C8,10,35,1.0,145.0,0.00090625,16.0,,,,,1.1
V10_C8,10,42,8.0,265.0,0.00165625,16.0,3.6,29.1,8.9,30.0,3.0
V10_C8,10,49,15.0,405.0,0.00253125,16.0,2.4,28.8,8.9,28.0,4.0
V10_C8,10,56,22.0,599.0,0.00374375,16.0,,,,21.0,4.8
V10_C8,10,70,36.0,1129.0,0.00705625,16.0,3.0,29.5,8.9,20.0,7.3
V10_C8,10,77,43.0,1409.0,0.00880625,16.0,3.5,28.5,8.9,25.0,8.8
V10_C8,10,84,50.0,1689.0,0.01055625,16.0,0.7,29.6,8.9,,9.5
V11A_C1,11A,35,27.0,132.0,0.0004888888888888889,8.63,7.1,26.4,8.7,26.0,1.7
V11A_C1,11A,42,34.0,206.0,0.000762962962962963,8.63,6.7,26.8,8.7,25.0,2.6
V11A_C1,11A,49,41.0,311.0,0.0011518518518518518,8.63,6.1,27.7,8.7,29.0,3.4
V11A_C1,11A,56,48.0,426.0,0.0015777777777777778,8.63,7.0,27.9,8.7,30.0,4.0
V11A_C1,11A,63,55.0,556.0,0.0020592592592592594,8.63,6.3,27.9,8.7,33.0,4.2
V11A_C1,11A,70,62.0,694.0,0.0025703703703703704,8.63,5.2,28.1,8.7,33.0,5.0
V11A_C1,11A,77,69.0,862.0,0.003192592592592593,8.63,5.3,27.6,8.7,34.0,6.0
V11A_C1,11A,84,76.0,1045.0,0.0038703703703703704,8.63,6.3,27.7,8.4,35.0,6.7
V11A_C1,11A,91,83.0,1251.0,0.004633333333333333,8.63,5.6,28.3,8.4,34.0,7.7
V11A_C1,11A,98,90.0,1463.0,0.005418518518518519,8.63,5.0,28.7,8.4,35.0,8.6
V11A_C1,11A,105,97.0,1670.0,0.006185185185185185,8.63,4.3,28.7,8.4,35.0,9.2
V11A_C1,11A,112,104.0,1870.0,0.006925925925925926,8.63,3.8,28.6,8.4,37.0,9.6
V11A_C1,11A,119,111.0,2082.0,0.007711111111111111,8.63,4.4,28.5,8.4,40.0,11.0
V11A_C1,11A,126,118.0,2298.0,0.008511111111111112,8.63,4.2,27.7,8.4,40.0,12.0
V11A_C1,11A,133,125.0,2490.0,0.009222222222222222,8.63,4.8,29.3,8.4,38.0,13.9
V11A_C1,11A,140,132.0,2702.0,0.010007407407407408,8.63,4.8,28.5,8.4,39.0,15.0
V11A_C1,11A,154,146.0,,,8.63,,,,36.0,17.5
V11A_C2,11A,21,14.0,31.0,0.00014418604651162791,6.87,6.6,29.8,8.3,40.0,1.5
V11A_C2,11A,28,21.0,53.0,0.0002465116279069767,6.87,5.5,28.7,8.3,40.0,2.5
V11A_C2,11A,35,28.0,151.0,0.0007023255813953488,6.87,4.0,29.9,8.3,40.0,4.0
V11A_C2,11A,42,35.0,282.0,0.0013116279069767442,6.87,3.8,29.7,8.3,40.0,5.0
V11A_C2,11A,49,42.0,480.0,0.0022325581395348836,6.87,4.1,28.8,7.6,39.0,6.2
V11A_C2,11A,56,49.0,747.0,0.003474418604651163,6.87,4.7,29.5,7.6,40.0,8.0
V11A_C2,11A,63,56.0,1012.0,0.004706976744186047,6.87,3.3,28.9,7.6,39.0,8.5
V11A_C2,11A,70,63.0,1278.0,0.005944186046511628,6.87,4.3,29.9,7.6,37.0,8.5
V11A_C2,11A,77,70.0,1544.0,0.007181395348837209,6.87,6.0,28.3,7.9,35.0,10.0
V11A_C2,11A,84,77.0,1812.0,0.008427906976744186,6.87,3.5,29.6,7.9,34.0,10.5
V11A_C2,11A,91,84.0,2082.0,0.009683720930232557,6.87,3.0,30.2,7.9,,12.7
V11A_C2,11A,98,91.0,2328.0,0.010827906976744186,6.87,4.1,29.8,7.9,28.0,14.5
V11A_C2,11A,105,98.0,2572.0,0.01196279069767442,6.87,3.9,29.9,7.9,,14.5
V11A_C2,11A,112,105.0,2845.0,0.013232558139534884,6.87,5.3,29.5,7.9,27.0,17.0
V11A_C2,11A,119,112.0,3125.0,0.014534883720930232,6.87,3.7,30.0,8.0,28.0,17.0
V11A_C2,11A,126,119.0,3395.0,0.015790697674418604,6.87,3.5,29.4,8.0,,17.0
V11A_C2,11A,133,126.0,3675.0,0.017093023255813952,6.87,4.1,29.3,8.0,29.0,18.5
V11A_C2,11A,140,133.0,3955.0,0.0183953488372093,6.87,5.5,28.8,8.0,30.0,20.0
V11A_C2,11A,147,140.0,4195.0,0.019511627906976744,6.87,4.4,28.7,8.0,30.0,22.0
V11A_C3,11A,28,20.0,106.0,0.0003212121212121212,10.54,4.7,27.6,8.0,28.0,3.8
V11A_C3,11A,35,27.0,210.0,0.0006363636363636364,10.54,5.5,27.6,8.0,30.0,5.0
V11A_C3,11A,42,34.0,352.0,0.0010666666666666667,10.54,5.5,27.6,8.0,30.0,6.0
V11A_C3,11A,49,41.0,482.0,0.0014606060606060607,10.54,4.8,26.2,8.0,30.0,7.5
V11A_C3,11A,56,48.0,652.0,0.0019757575757575756,10.54,4.8,27.1,8.0,30.0,8.7
V11A_C3,11A,63,55.0,862.0,0.0026121212121212123,10.54,3.8,27.3,8.0,30.0,8.8
V11A_C3,11A,70,62.0,1108.0,0.0033575757575757576,10.54,5.5,26.5,8.0,30.0,10.7
