ID_CULTIVO,N_EVENTOS_DESPESCA,KG_DESPESCADO,KG_VENDIDO,KG_DOADO,ANIMAIS_DESPESCADOS,PESO_MEDIO_DESPESCA,N_DESBASTES,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,SOBREVIVENCIA,PRODUTIVIDADE_KG_HA,SOBREVIVENCIA_VALIDA
V10_C1,5,1875.5,1844.0,31.5,100509.7097228746,21.29,3,10,205000.0,1.0,0.4902912669408517,1875.5,True
V10_C2,4,1539.0,1539.0,0.0,99581.22671353252,17.07,2,10,195000.0,1.0,0.510672957505295,1539.0,True
V10_C3,4,1456.0,1456.0,0.0,119874.9234263882,10.78,2,10,200000.0,1.0,0.599374617131941,1456.0,True
V10_C4,2,1183.0,1183.0,0.0,53545.39172844323,25.63,1,10,140000.0,1.0,0.38246708377459454,1183.0,True
V10_C5,4,969.0,961.0,8.0,73350.13978494624,13.95,1,10,180000.0,1.0,0.40750077658303463,969.0,True
V10_C6,2,406.0,406.0,0.0,32069.5102685624,12.66,0,10,95000.0,1.0,0.33757379230065687,406.0,True
V10_C7,1,626.0,626.0,0.0,34395.604395604394,18.2,0,10,80000.0,1.0,0.4299450549450549,626.0,True
V10_C8,3,1235.0,1235.0,0.0,105272.52380952382,13.44,2,10,160000.0,1.0,0.6579532738095238,1235.0,True
V11A_C1,6,2030.415,1917.0,113.41499999999999,157599.18759159747,15.0,4,11A,270000.0,3.13,0.5837006947836944,648.6948881789137,True
V11A_C2,7,2325.0,2284.0,41.0,118521.61394101876,21.95,6,11A,215000.0,3.13,0.5512633206559012,742.8115015974441,True
V11A_C3,3,2423.0,2423.0,0.0,137794.15489272634,19.11,2,11A,330000.0,3.13,0.41755804512947375,774.1214057507988,True
V11A_C4,7,3178.0,3176.0,2.0,183473.70772620654,22.0,5,11A,750000.0,3.13,0.24463161030160874,1015.3354632587859,True
V11A_C5,4,2138.0,2138.0,0.0,162589.30874416445,13.17,0,11A,250000.0,3.13,0.6503572349766578,683.0670926517572,True
V11A_C6,5,1867.0,1867.0,0.0,108186.68521826604,20.35,2,11A,280000.0,3.13,0.3863810186366644,596.4856230031949,True
V11A_C7,3,3073.0,3073.0,0.0,211331.56382114507,14.63,1,11A,280000.0,3.13,0.7547555850755181,981.7891373801917,True
V11B_C1,4,3202.0,3172.0,30.0,252159.17161186849,12.47,3,11B,400000.0,4.95,0.6303979290296712,646.8686868686868,True
